Zip Code,Location,Population,People / Sq. Mile
62933,"37.779686, -89.019370","1,005",592.68
60141,"41.858329, -87.837895",247,586.25
61871,"40.189704, -87.974548",175,576.58
62010,"38.923400, -90.051360","10,648",566.90
60002,"42.469215, -88.079880","19,442",566.23
62521,"39.810219, -88.939561","37,281",561.97
61101,"42.346079, -89.146087","23,347",560.57
62948,"37.817092, -89.030683","11,834",548.42
60604,"41.878266, -87.626150",78,546.75
60010,"42.146794, -88.165268","39,819",546.62
61340,"41.265130, -89.254045",327,546.40
60097,"42.386654, -88.358454","10,434",546.16
60175,"41.948188, -88.388701","17,953",530.88
62216,"38.602276, -89.602961",934,529.14
61329,"41.374136, -89.199344","1,322",527.25
62953,"37.209266, -88.846999",427,526.91
61430,"40.939231, -90.311209",718,512.31
62201,"38.627798, -90.145445","8,452",510.30
62250,"38.540417, -89.263798",462,492.90
61073,"42.419412, -88.996491","15,981",489.75
60012,"42.278923, -88.305902","9,919",484.62
60115,"41.897151, -88.748596","42,372",483.27
60408,"41.253554, -88.217879","5,077",482.44
62220,"38.477814, -89.956860","19,902",477.28
62999,"37.874517, -89.058124","1,709",464.33
61563,"40.490079, -90.063469",511,462.99
62549,"39.765995, -88.863600","5,740",462.81
60480,"41.721256, -87.880964","4,758",459.38
62879,"38.766243, -88.358796",120,456.21
62009,"39.087928, -89.799496","2,171",443.13
62294,"38.707309, -89.881773","12,479",433.59
60081,"42.451014, -88.225409","8,321",431.21
60914,"41.186862, -87.857862","22,499",427.64
61324,"41.769393, -89.413342",107,420.23
60543,"41.664136, -88.317818","18,769",409.61
60417,"41.427585, -87.586149","15,780",402.35
61550,"40.608895, -89.441806","17,088",400.72
60557,"41.438362, -88.769875",101,390.74
60901,"41.109386, -87.903673","37,224",377.64
61317,"41.433120, -89.207839",324,371.80
61241,"41.481542, -90.291435","6,944",369.79
60410,"41.423524, -88.202206","7,585",367.46
61439,"41.028017, -90.358717",282,367.39
62535,"39.928690, -88.954942","2,572",366.62
61320,"41.345866, -89.172559",738,356.25
60474,"41.180498, -88.291994",733,344.61
62301,"39.928206, -91.343825","52,461",343.75
61607,"40.630463, -89.691062","10,473",343.27
61008,"42.245919, -88.841130","28,361",335.19
62046,"38.899187, -89.847984",388,327.17
61571,"40.699747, -89.423576","20,338",325.96
61080,"42.479921, -88.992675","8,848",323.75
61316,"41.258962, -89.119415",250,316.30
62334,"40.397426, -91.248406",151,315.86
61315,"41.296626, -89.378424",253,312.95
61401,"40.949361, -90.384249","36,568",311.70
60416,"41.289325, -88.283366","7,288",303.01
62035,"38.970472, -90.238356","15,808",301.00
62541,"39.967890, -89.356799",33,297.72
62876,"38.291101, -89.190269",330,296.40
61552,"40.818012, -89.563057",135,290.66
61704,"40.413575, -88.897098","35,851",289.52
62629,"39.677952, -89.721302","9,543",284.82
61331,"41.745142, -89.276970",51,279.26
